timestamp,model_name,benchmark,accuracy,memory_utilization,additional_results
2024-11-19 15:07:22,qwen2_4bit,docvqa,0.1224883881761447,1457848656,
2024-11-19 15:10:33,qwen2_8bit,docvqa,0.3203984176732342,2444558672,
2024-11-19 15:11:23,qwen2_32bit,docvqa,0.477183595973623,8835949904,
2024-11-19 15:20:43,video_llava_4bit,docvqa,0.0144568600846037,4081135888,
2024-11-19 15:29:43,video_llava_8bit,docvqa,0.012790193417937,7631614224,
2024-11-19 15:33:37,video_llava_32bit,docvqa,0.0251711457988894,29465129232,
2024-11-19 15:51:00,idefics2_4bit,docvqa,0.5903707700374817,4605581792,
2024-11-19 16:12:32,idefics2_8bit,docvqa,0.6544550261675632,8673231328,
2024-11-19 17:08:09,idefics2_32bit,docvqa,0.6789733342483713,33611080640,
2024-11-19 17:13:17,phi3_5_4bit,docvqa,0.538508009088221,2371420680,
2024-11-19 17:17:02,phi3_5_8bit,docvqa,0.5381189342679087,4345365000,
2024-11-19 17:19:43,phi3_5_32bit,docvqa,0.5578469348709093,16586496520,
2024-11-19 17:34:22,video_llava_4bit,vqa2,0.028,4081135888,
2024-11-19 18:00:54,video_llava_8bit,vqa2,0.023,7631614224,
2024-11-19 18:14:13,video_llava_32bit,vqa2,0.028,29465129232,
2024-11-19 18:35:02,idefics2_4bit,vqa2,0.06,4605581792,
2024-11-19 19:06:59,idefics2_8bit,vqa2,0.064,8673231328,
2024-11-19 20:04:22,idefics2_32bit,vqa2,0.066,33611080640,
